,Zone,State,City,Name,Type,Significance,Entrance Fee in INR,Google review rating,Weekly Off,Best DayTime to visit
138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,Historical,10,4.4,None,Afternoon
139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,Historical,75,4.5,None,Morning
140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,Religious,0,4.8,None,All
141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Environmental,0,4.5,None,Morning
142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Environmental,15,4.6,None,Morning
143,Central,Madhya Pradesh,Kanha,Kanha National Park,Natural Park,Environmental,100,4.5,None,Morning
144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,Natural Park,Environmental,50,4.5,None,Morning
145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,Historical,10,4.8,None,Afternoon
146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Palace,Historical,50,3.9,None,Afternoon
147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Archaeological Site,Archaeological,25,4.6,None,Afternoon
148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,Religious,0,4.4,None,All
149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Environmental,0,4.4,None,Morning
150,Northern,Himachal Pradesh,Shimla,The Ridge,Garden,Recreational,0,4.7,None,Morning
151,Northern,Himachal Pradesh,Manali,Solang Valley,Mountain,Recreational,0,4.1,None,Morning
152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,Religious,0,4.7,None,All
153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Recreational,0,4.5,None,Morning
154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Temple,Religious,0,4.8,None,Morning
155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,Natural Park,Environmental,50,4.5,None,All
156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Recreational,0,4.4,None,Morning
157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Mountain,Environmental,0,4.5,None,Morning
158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,Historical,150,4.4,None,All
159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Garden,Environmental,0,4.6,None,Morning
160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,Environmental,0,4.6,None,Morning
161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Amusement Park,Recreational,2500,4.8,None,All
162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Mountain,Recreational,0,4.8,None,Morning
163,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Temple,Religious,0,4.6,None,Morning
164,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Mountain,Environmental,0,4.5,None,All
165,Northern,Himachal Pradesh,Barot,Barot Valley,Mountain,Environmental,0,4.7,None,Morning
166,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Environmental,0,4.4,None,Morning
167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Amusement Park,Recreational,1500,3.8,None,All
168,Northern,Uttarakhand,Nainital,Naini Lake,Lake,Recreational,0,4.2,None,Morning
169,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Bridge,Religious,0,4.4,None,Morning
170,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Monument,Religious,0,4.5,None,All
171,Northern,Uttarakhand,Dehradun,Robber's Cave,Archaeological Site,Environmental,25,4.5,None,Morning
172,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Environmental,15,4.2,None,Morning
173,Northern,Uttarakhand,Auli,Auli Ski Resort,Amusement Park,Recreational,0,4.5,None,Morning
174,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,Religious,0,4.8,None,All
175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Natural Park,Environmental,150,4.3,None,All
176,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Garden,Environmental,50,4,None,All
177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,Natural Park,Environmental,100,4.4,None,All
178,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,Religious,0,4.8,None,All
179,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,Religious,0,4.8,None,All
180,Northern,Uttarakhand,Joshimath,Valley of Flowers,Natural Park,Environmental,150,4.7,None,Morning
181,Central,Uttar Pradesh,Agra,Taj Mahal,Monument,Historical,50,4.6,Friday,Morning
182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Religious,0,4.7,None,All
183,Central,Uttar Pradesh,Lucknow,Bara Imambara,Historic Building,Historical,50,4.4,Monday,All
184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Religious,0,4.7,None,All
185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Temple,Religious,0,4.8,None,All
186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,Religious,0,4.8,None,All
187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Temple,Religious,0,4.5,None,Morning
188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,Historical,15,4.4,None,All
189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,Religious,5,4.6,None,All
190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,Architectural,40,4.4,None,Afternoon
191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Natural Park,Environmental,30,4.3,None,All
192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,Historical,20,4.1,None,Afternoon
193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Religious,0,4.8,None,All
194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,Recreational,150,4.2,Monday,All
195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Recreational,0,4.6,None,Morning
196,Northern,Ladakh,Leh,Pangong Tso,Lake,Environmental,20,4.9,None,Morning
197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Mountain,Environmental,100,4.6,None,All
198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Religious,0,4.7,None,All
199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Mountain,Recreational,0,4.1,None,All
200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Archaeological Site,Religious,0,4.5,None,All
201,Northern,Ladakh,Leh,Thiksey Monastery,Temple,Religious,20,4.7,None,All
202,Northern,Ladakh,Nubra Valley,Nubra Valley,Mountain,Environmental,0,4.5,None,All
203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,Historical,0,4.8,None,All
204,Northern,Ladakh,Diskit,Diskit Monastery,Temple,Religious,20,4.7,None,Morning
205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,Natural Park,Environmental,100,4.3,None,All
206,Northern,Ladakh,Hemis,Hemis National Park,Natural Park,Environmental,20,4.4,None,All
207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Historical,0,4.8,None,All
208,Northern,Ladakh,Leh,Magnetic Hill,Mountain,Environmental,0,3.7,None,All
209,Northern,Ladakh,Leh,Khardung La Pass,Mountain,Recreational,0,4.5,None,Afternoon
210,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,Educational,200,4.5,None,All
211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,Religious,0,4.8,None,Evening
212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Temple,Religious,0,4.8,None,Morning
213,Central,Uttar Pradesh,Mathura,Nand Gaon,Historic Building,Religious,0,4.1,None,Morning
214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Religious,0,4.8,None,Morning
215,Eastern,West Bengal,Darjeeling,Tiger Hill,Mountain,Historical,0,4.5,None,All
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Natural Park,Environmental,250,4.4,None,All
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,Natural Park,Environmental,60,4.4,None,All
218,Eastern,West Bengal,Digha,Digha Beach,Beach,Recreational,0,4.5,None,Morning
219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,Historical,10,4.5,Friday,Morning
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Religious,0,4.7,None,All
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,Religious,0,4.6,None,All
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,Natural Park,Environmental,100,4.4,None,All
223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,Historical,20,4.5,Friday,All
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Mountain,Environmental,0,4.5,None,All
225,Eastern,Odisha,Puri,Jagannath Temple,Temple,Religious,0,4.7,None,All
226,Eastern,Odisha,Konark,Sun Temple,Temple,Archaeological,40,4.7,None,All
227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,Religious,0,4.6,None,All
228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Environmental,0,4.5,None,All
229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,Historical,0,4.5,None,All
230,Eastern,Odisha,Sambalpur,Hirakud Dam,Bridge,Architectural,0,4.5,None,All
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Environmental,0,3.9,None,Morning
232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Religious,0,4.6,None,All
233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Environmental,0,4.3,None,Morning
234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Recreational,0,4.2,None,Morning
235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Environmental,0,4.4,None,All
236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Recreational,0,3.9,None,Morning
237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,Religious,0,4.7,None,All
238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Religious,0,4.6,None,All
239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Monument,Historical,20,4.6,None,Morning
240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,Recreational,10,4.1,None,Morning
241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,Religious,0,4.7,None,All
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,Recreational,0,3.9,None,Morning
243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,Historical,0,4.8,None,All
244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,Historical,40,4.6,None,All
245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Recreational,0,4.2,None,Morning
246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,Religious,0,4.6,None,All
247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,Religious,0,4.7,None,All
248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Religious,0,4.7,None,All
249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Recreational,0,4.5,None,Morning
250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,Religious,0,4.7,None,All
251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Mountain,Environmental,0,4.3,None,All
252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Archaeological Site,Archaeological,0,4.6,None,All
253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Archaeological Site,Archaeological,65,4.4,None,Afternoon
254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Religious,0,4.7,None,All
255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Natural Park,Environmental,10,4.4,None,All
256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,Historical,0,4.5,None,Morning
257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Historic Building,Religious,0,4.7,None,All
258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,Religious,0,4.7,None,All
259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Mountain,Recreational,0,4.5,None,All
260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,Educational,40,4.6,None,All
261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Archaeological Site,Archaeological,60,4.5,None,Afternoon
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Historical,0,4.6,None,All
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,Recreational,20,4.1,Monday,Afternoon
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Museum,Educational,20,3.8,None,All
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,Educational,10,4.3,None,All
266,Eastern,Sikkim,Gangtok,Nathula Pass,Mountain,Environmental,20,4.3,None,Afternoon
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Temple,Religious,20,4.6,None,Morning
268,Eastern,Sikkim,Namchi,Char Dham,Temple,Religious,50,4.7,None,All
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Temple,Religious,10,4.6,None,Morning
270,Eastern,Sikkim,Ravangla,Buddha Park,Garden,Religious,50,4.8,None,All
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,Religious,0,4.7,None,All
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Environmental,0,4.5,None,Morning
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Religious,0,4.6,None,All
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,Natural Park,Environmental,650,4.5,None,Morning
275,North Eastern,Assam,Guwahati,Umananda Island,Natural Park,Environmental,0,4.1,None,Morning
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,Religious,0,4.7,None,All
277,North Eastern,Assam,Majuli,Majuli Island,Natural Park,Environmental,0,4.7,None,Morning
278,North Eastern,Assam,Manas,Manas National Park,Natural Park,Environmental,500,4.6,None,Morning
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Religious,0,4.5,None,All
